"","seed","ll","beta11","beta12","beta21","beta22","p","algorithm"
"1",1,-1215.31323952651,80.2062189086191,0.0276600628385669,-0.571188702862751,20.6821483048173,0.806,"DE"
"2",1,-1281.99263350274,80.1299933473036,0.121554770760047,-0.217284423599299,20.3315481715042,0.688,"MFO"
"3",1,-1215.32390418643,80.1583568600134,0.0919669952467169,-0.35237660419053,20.4534796872575,0.806,"BHO"
"4",1,-1215.89149929523,79.9656768962889,0.29182112309888,0.496516405995093,19.643738489753,0.806,"HS"
"5",2,-1161.47741847103,79.4518582070186,0.919225981135728,2.4405785680318,16.9635757427668,0.788,"DE"
"6",2,-1235.19935109043,80.0323783673709,0.310710628589706,-0.42346440932858,19.8762973252824,0.724,"MFO"
"7",2,-1162.61242880865,80.0853336433417,0.255366042080631,-0.709750690273024,20.169404349078,0.778,"BHO"
"8",2,-1162.64572687965,80.0280175439934,0.312191762884772,-0.448522600758027,19.8927481551856,0.776,"HS"
"9",3,-1192.5783260222,80.3584323947713,-0.354573235799467,-1.63404105321016,20.8644430740469,0.782,"DE"
"10",3,-1235.86138233752,79.9074652009498,0.0845403676982212,0.423482721781288,18.8318797027407,0.73,"MFO"
"11",3,-1192.55728777686,80.3756666964051,-0.383489513477577,-1.74213916085875,21.000804602743,0.782,"BHO"
"12",3,-1193.22454933624,79.6594770716237,0.334077952210112,1.74669803881234,17.504544821905,0.782,"HS"
"13",4,-1147.55941245234,80.2452879922696,-0.152877747357169,-1.22223132872966,20.7954128596264,0.804,"DE"
"14",4,-1179.89073526176,80.0496583295547,0.0329471539639151,-0.02371964016769,19.5922633274604,0.764,"MFO"
"15",4,-1180.68833253171,100.642177284998,-1.48218295999065,-20.6578063012064,1.68351977678739,0.194,"BHO"
"16",4,-1148.59834918419,79.9560451681703,0.132405025216383,0.510719421829237,19.0150184006562,0.804,"HS"
"17",5,-1159.55389676011,80.1375849580688,-0.120975337889304,-0.667477204762791,20.7497735408978,0.796,"DE"
"18",5,-1223.41269597848,79.9600536604589,0.0556983034765609,0.217183736349362,19.8728000345817,0.732,"MFO"
"19",5,-1159.68084517819,80.0551624584596,-0.034914955315137,-0.262103048880111,20.333892306119,0.798,"BHO"
"20",5,-1159.75382231186,80.2262443969347,-0.220797308979759,-1.12894187645026,21.2678185855755,0.796,"HS"
"21",6,-1178.25593716925,80.1507765628358,-0.0986841276646871,-0.20180106012405,19.9229766573722,0.812,"DE"
"22",6,-1227.60690101203,80.2960119758564,-0.253202055341815,-0.877474852049823,20.6011080487321,0.718,"MFO"
"23",6,-1214.72017506766,80.1254574790903,-0.0824384706212839,14.4524075486123,5.27181355909428,0.814,"BHO"
"24",6,-1172.2609668107,80.4535223352328,-0.416758273881176,-1.5803346871921,21.3026271724847,0.798,"HS"
"25",7,-1149.30217069423,79.9424358166696,0.217310294613818,0.936763650474051,18.4179543412909,0.798,"DE"
"26",7,-1149.45461738094,80.4235567831847,-0.267950270825053,-1.74184527665223,21.096850036948,0.804,"MFO"
"27",7,-1149.31329022852,79.9663971552836,0.189823245324715,0.814666677284113,18.5458590587133,0.8,"BHO"
"28",7,-1149.38290816194,80.0206947982799,0.13786615578914,0.522878535650137,18.8461957922803,0.8,"HS"
"29",8,-1192.53716456773,79.4684459772565,0.577028144256782,2.29614134924365,17.146363107421,0.804,"DE"
"30",8,-1225.26224045409,79.714096358476,0.33290898526787,0.965810027297922,18.4728747558018,0.754,"MFO"
"31",8,-1192.52191004911,79.4774319538725,0.569705566828194,2.28636266594759,17.1536279873706,0.804,"BHO"
"32",8,-1192.58898158237,79.5152042325101,0.516717007168914,2.12851481950618,17.3415119352615,0.804,"HS"
"33",9,-1165.88160545873,80.3774011296508,-0.368618541697195,-1.38881007946452,20.9025746195169,0.802,"DE"
"34",9,-1555.78836540948,80.1444003279767,1.75346398299578,-0.33297686394977,18.1345132985692,0.77,"MFO"
"35",9,-1165.87676932649,80.3731111414677,-0.360782492895786,-1.38881396832671,20.8933217897609,0.802,"BHO"
"36",9,-1166.74963371108,80.0723205734284,-0.054068689866979,0.16512663396222,19.3088617358108,0.802,"HS"
"37",10,-1196.55572276062,79.9679814971274,-0.0315659441603318,0.988979483827575,19.5150583339371,0.802,"DE"
"38",10,-1196.52261151172,79.9387698665691,0.000365458250703141,1.09465353070085,19.402226300891,0.802,"MFO"
"39",10,-1196.51939802161,79.9823132607811,-0.0445752894441101,0.868433386850037,19.635383492935,0.802,"BHO"
"40",10,-1196.55867386256,79.9077207474762,0.0241446267979811,1.26795667934262,19.2174962412058,0.802,"HS"
"41",1,-1549.38311309753,80.0805066052679,0.413575675502917,0.0147214913063465,10.7643148780977,0.644,"EM"
"42",2,-1582.47585805993,79.9441149495297,3.85514527078833,0.000105663924557575,0.218342846084525,0.222,"EM"
"43",3,-1625.96790641847,80.0022815290836,-0.0902476862339023,0.00119637528220551,4.85327355141435,0.248,"EM"
"44",4,-1556.40551359953,80.0454028844494,0.290309300815448,0.00886903192630939,5.89244355573266,0.596,"EM"
"45",5,-1499.43897548667,80.0035161771488,0.0965567566362145,0.0185834399501772,10.1076592457088,0.688,"EM"
"46",6,-1607.97327750635,80.124029128601,2.39101751832967,0.00271476682169691,4.1866598037708,0.656,"EM"
"47",7,NA,NA,NA,NA,NA,NA,"EM"
"48",8,-1620.53992723405,79.9073781537174,-0.569972811355994,6.35455563724463e-08,4.41505299827683,0.2,"EM"
"49",9,NA,NA,NA,NA,NA,NA,"EM"
"50",10,NA,NA,NA,NA,NA,NA,"EM"
